propertyId,address1,address2,city,states,zipcode,types,price
4a786472-8d9b-444f-9b9a-373197753d7b,5580 Collier Walks,Suite 158,East Tressie,Missouri,81868-4492,Single family home,25093764
cda34a1a-9d77-420a-bef6-a008ec5e2856,24282 Kiara Route,Suite 457,South Wava,Georgia,85671,Modular,13060142
98a57f3d-3370-4640-96a4-000c89a0d6b9,74526 Kilback Curve,Suite 906,Beerborough,West Virginia,64254-7175,Condo - 5+ stories,12614973
24e2e877-2e9e-48f4-b48d-d600ff7c065f,2692 Barton Islands,Suite 629,Kurtside,Kansas,68177,Townhouse,23287566
de09298b-3d37-451e-a3cb-775bd22a4f03,358 Ashley Run,Apt. 103,Heathhaven,Delaware,51066-8136,Condo - 4 or fewer stories,9932146
3ecea1d0-22a2-4643-84d6-6c130c8fa3cd,4640 Mayer Forks,Suite 070,North Gwendolynhaven,Minnesota,61732-1345,Leasehold,14442234
5e96ab6c-f4fc-4481-8fb7-34954b9f2e78,199 Baby Ridges,Apt. 698,Wildermanfort,Maryland,98546-8140,Cooperative,15571587
79f1f068-67d1-42f1-afcb-f6da1dc1cd00,0480 Luna Station,Apt. 766,Lake Rupertton,Rhode Island,51149-0118,Condo - 5+ stories,5808798
359b251b-de84-4cf7-9f02-3210c10e205c,473 Effertz Mission,Apt. 948,East Breanne,Utah,14147,Condo - 5+ stories,4212372
f15c7fd0-e819-416b-a635-7641a985c3d3,348 Bridget Hollow,Suite 017,Wolffland,Minnesota,61034,Leasehold,21977299
9db08379-cba7-4c25-ba7c-111c7bb1a853,4383 Keebler Flats,Apt. 725,Janelleborough,Nevada,29597,Modular,12502882
1e926df8-f529-416b-a940-dfbce05eb20b,78213 Sigmund Manor,Suite 160,West Charlottemouth,Colorado,23209,Leasehold,6463033
c65dbdc8-6f3f-451c-9f66-4c3009092718,7728 Name Parkways,Apt. 499,Chasityfort,New Jersey,04141-0447,Condo - 4 or fewer stories,23928036
60bc476b-da6f-4791-8bdb-f7507a8c28e9,8173 Bednar Falls,Apt. 583,Port Clevelandchester,North Dakota,70984,Condo - 4 or fewer stories,16714254
336aa195-23e5-4a86-8fdb-35a79704e228,2986 Grimes Points,Suite 169,New Kamron,Nevada,18308-7910,Townhouse,24794689
d77711a8-a3a7-4d39-aea0-7f9b9b70d656,08225 Ferry Falls,Apt. 250,Ollieland,Alabama,09224-7126,Townhouse,5221984
6cb70d5d-e263-4460-b19a-ad2c718f41c7,2346 Price Meadow,Apt. 290,Darienport,California,66479-7313,Condo - 5+ stories,15475295
86f361ca-fae7-4a60-be79-6810fa086711,616 Junius Pine,Suite 379,Reynoldsbury,Delaware,81661-6075,Single family home,27968722
08c3c49d-c234-4aa9-abf2-20f4ee0c701c,483 Caleigh Field,Apt. 541,Yundtview,New Jersey,03988,Townhouse,21786666
be515ffa-7ec6-4faa-8f36-ff07c6dfff45,50440 Jessika Summit,Suite 186,Gorczanyview,Delaware,83067,Mobile or manufactured,28322638
3213f0bd-235e-4282-8bed-3b75e1af5b07,65497 Halvorson Well,Apt. 229,Lake Laceyside,Pennsylvania,75110-3561,Modular,13145113
5d288866-b6dd-49b0-9ddb-d4a2854017fe,022 Harmon Track,Suite 401,North Emmetthaven,Alabama,14992,Condo - 4 or fewer stories,911146
c3bd0f76-db7e-471b-a976-90a7f6fb331d,32069 Ellsworth Junction,Suite 304,West Magaliberg,New Hampshire,71138-3449,Cooperative,22311890
1ce17eab-4a7b-4b3f-af2b-b5c118063c60,565 Ruecker Square,Apt. 908,East Kaileyfort,Oklahoma,20579-8700,Cooperative,2120357
57b0c21b-46fa-4d40-984f-d5ff3edc3e73,41364 Anissa Prairie,Apt. 303,Goodwinside,Oregon,33100,Mobile or manufactured,17823096
eee1df5b-1099-4dc5-9675-e13e139beae8,0878 Armstrong Lodge,Suite 435,West Sylvanshire,North Carolina,83865,Modular,20828573
c050c394-3044-4fe6-97ae-b5e3f139ee39,568 Conroy Place,Suite 323,Hayesmouth,Alabama,32309,Cooperative,2504730
38c5a540-0ae9-4199-93f5-2fa3f81547df,51524 Turcotte Spur,Apt. 842,Olsonside,Idaho,21582-5106,Condo - 4 or fewer stories,29635867
90a6c558-ce88-47aa-b34d-4491d0720ad8,298 Casper Brook,Suite 938,Lake Cloydport,Tennessee,47257,Leasehold,297595
82372971-fbf4-4f97-9c44-4d0ce086e7ff,5077 Rae Passage,Suite 641,Prosaccochester,Virginia,40608-5091,Single family home,23445012
54f3146f-7e7b-4be6-8d5a-e321b31258c3,4124 Alessandra Burg,Apt. 380,Haagmouth,Florida,09023,Mobile or manufactured,3161944
99778a0b-ad3d-4b84-abe5-8bad48ee4946,030 Roberts Landing,Suite 644,Larsonshire,Oklahoma,79530,Cooperative,11438356
6d935463-2c44-4859-8908-cc52e23688ea,33149 Batz Court,Suite 166,Lake Joesphhaven,North Dakota,31845-1708,Leasehold,22849186
99d86d8e-5148-4f71-84f1-2a922b04efbf,439 Schamberger Underpass,Apt. 100,Port Theomouth,Georgia,28099,Condo - 5+ stories,17149315
8f6e5c48-e9a3-4e26-ab29-24faa8d1a6d5,152 Senger Alley,Apt. 957,Moorestad,Kansas,83348-8378,Cooperative,10825850
07e66786-f9ae-4e2b-ab64-22c8483930ce,94135 Sporer Springs,Suite 375,Smithstad,Iowa,16270-2220,Modular,9863719
116c129f-ab90-4d6d-9f1f-0e56ab643693,6388 Whitney Loop,Apt. 811,New Jammieburgh,Nevada,00657,Modular,2472423
e6e6081e-3555-4261-b780-6c4dd4434699,6604 Roob Corners,Apt. 769,West Phoebeshire,Montana,46526,Condo - 5+ stories,26545610
0fd761c2-1799-4667-ae10-2efa707c6cce,451 Jamar Summit,Suite 428,Barrowsport,Oklahoma,12819-7140,Leasehold,14454616
7f0c2022-b55d-4982-81bc-482c34b4d8cf,348 Albertha Ports,Suite 557,Ikemouth,Wisconsin,54219,Mobile or manufactured,18324834
24f222b5-afd0-4773-a823-f4a61d30f4f6,8260 Wilber Spurs,Suite 961,Lamarchester,Wisconsin,00107,Leasehold,28496261
96487a98-1a60-4815-ad39-bfa515efe11c,7561 Rolfson Summit,Apt. 961,Antoniahaven,Maine,27398-1456,Townhouse,9453739
3192d9d9-1655-4d4d-ab0d-fd3e489d4641,60202 Lorena Rue,Suite 432,Hermanmouth,Missouri,16519,Single family home,11208563
